Author,Comment,Likes,Timestamp
@SomenathRakshit-b5x,Srh back to back final loss<br>2024 ipl final lost against kkr <br>2025 sat20 final lost against mi Capetown <br>Very disappointed for kavya marran 😢<br>Hard luck for srh😢,1,2025-02-09T22:56:13Z
@SomenathRakshit-b5x,Rashid Khan ne 2024 t 20 world cup mai semi final south africa se afganistan ka har ka badla sat20 mai le liya 😅<br>2024 t 20 world cup mai makram ke south africa ne afganistan ko harake bhahar Kia tha <br>Uska badla mi cape town ka captain banke rashid Khan ne makram ko final harake le liya 😅<br>Is ko bolte hai great revenge 😊,1,2025-02-09T22:54:35Z
@SomenathRakshit-b5x,"Sat20 mi cape town very strong team tha specially unke batsman jadha bowler😬rabada+ boul+ rashid Khan <br>Bho deserve karte hai trophy 🏆😅<br>Ipl mi champion hoga eae nahi hoge badme pata chal jayega,par mi ipl mai strong team hai bho final Tak jarur pahuchega eae confirm hai <br>Bout+ bumrah+ chahar+ hardik dangerous pace attack 😬",0,2025-02-09T22:53:25Z
@sharadkurade7685,Mi sabka Baap he...🔥🗿 Always on 🔥,2,2025-02-09T20:04:13Z
@Aman-z9c9f,"Again my girl Kavyas heartbreak 💔 💔..but You cant Win trophy with South African Player&#39;s Like Markram,Klassen,Marco jenson... They are Choked by Destiny it&#39;s a fact......",1,2025-02-09T19:16:55Z
@MBTN94,MICT❤<br>PDOGG 😊,0,2025-02-09T18:13:45Z
@jamesj9693,Jesus . Can we just ban woman commentators.,1,2025-02-09T17:30:47Z
@nishanthnishanth6056,Rickelton ...de cock style ❤,1,2025-02-09T17:25:31Z
@azeezvp7081,Next mi.,0,2025-02-09T17:17:00Z
@surendrakumar5079,I am big fan cricket,1,2025-02-09T17:04:20Z
@HarishKumar-k5y5b,Sad for sunrisers missed a hattrick😢,0,2025-02-09T16:43:32Z
@NadeemKhan-ek8ci,Congratulations for mi,0,2025-02-09T16:18:00Z
@sharifsrf228,Mi 💙🏆💫🔥,1,2025-02-09T15:59:33Z
@PrinceKaif-u7l,Rashid 🎉,0,2025-02-09T15:54:28Z
@SahilShaikh-wd3bv,Mi Trophy Cabinate<br>Ilt20<br>Clt20<br>Mlct20<br>Wpl<br>Ipl<br>Sa20<br>Aamchi Mumbai 🥳🥳🎉🎉,2,2025-02-09T15:52:32Z
@cricketgyaan4398,"😮😢😮😢😮 <a href=""https://www.youtube.com/watch?v=f8wteRu5eac&amp;t=324"">5:24</a>",1,2025-02-09T15:52:29Z
@cricketgyaan4398,I am here  after hitman century ❤❤,15,2025-02-09T15:46:58Z
@RdxGamer-d7g,Rashid is 🔥🔥🔥🔥,3,2025-02-09T14:27:59Z
@zehradayani4448,I hate when the tittle say how has win the match please don&#39;t mention the winner it spoil the interest of watching match,0,2025-02-09T14:02:09Z
@Dreamervision-x5u,Lhuan dre pretorious dewalt brevis ☠️☠️,1,2025-02-09T13:56:35Z
@champ999,Match was set ...😡😠🤬,1,2025-02-09T13:35:26Z
@akshaytekam8426,"<a href=""https://www.youtube.com/watch?v=f8wteRu5eac&amp;t=322"">5:22</a>  Someone got flipped 🙃 in the stand 😂😂😂. Hilarious 😄",57,2025-02-09T13:35:14Z
@tariquekhan6295,"When MI is not able to WIN, they pre-plan the 2nd innings.<br><br>Nobody in SR seem like they wanted to win, just thrown their wickets just like that...which shows 2nd innings was pre-planned.",0,2025-02-09T13:24:36Z
@nerdtom4513,Whatever you do... never let a MI franchise enter the final🤫🗿,5,2025-02-09T13:16:31Z
@playslam1,This is my new cricket gaming🎮 channel😊,0,2025-02-09T13:11:41Z
@Allinonegamerz5411,"Bhai <a href=""https://www.youtube.com/watch?v=f8wteRu5eac&amp;t=209"">3:29</a> bhai ye overton to aj India ke khilaf khel raha hai itni jldi yha aake mat h khelne laga",1,2025-02-09T12:58:20Z
